datetime,AccX,AccY,AccZ
,-0.02,-1.003,0.073
,-0.021,-1.003,0.072
,-0.02,-1.003,0.073
,-0.021,-1.001,0.071
2025-11-13 23:04:48.826,-0.021,-1.003,0.073
2025-11-13 23:04:48.826,-0.02,-1.001,0.074
2025-11-13 23:04:48.826,-0.021,-1.003,0.072
2025-11-13 23:04:48.826,-0.02,-1.004,0.073
2025-11-13 23:04:48.826,-0.02,-1.003,0.073
2025-11-13 23:04:48.826,-0.021,-1.003,0.072
2025-11-13 23:04:48.826,-0.02,-1.003,0.073
2025-11-13 23:04:48.826,-0.021,-1.001,0.071
,-0.021,-1.002,0.072
,-0.021,-1.002,0.072
,-0.022,-1.003,0.073
,-0.021,-1.003,0.073
2025-11-13 23:04:48.843,-0.021,-1.002,0.072
2025-11-13 23:04:48.843,-0.021,-1.002,0.072
2025-11-13 23:04:48.843,-0.022,-1.003,0.073
2025-11-13 23:04:48.843,-0.021,-1.003,0.073
,-0.022,-1.003,0.072
,-0.02,-1.001,0.073
,-0.02,-1.001,0.072
,-0.022,-1.003,0.071
,-0.02,-1.002,0.073
,-0.021,-1.0,0.071
,-0.022,-1.002,0.072
,-0.02,-1.002,0.072
,-0.022,-1.004,0.072
,-0.021,-1.001,0.073
,-0.021,-1.002,0.073
,-0.021,-1.003,0.072
2025-11-13 23:04:48.977,-0.022,-1.003,0.072
2025-11-13 23:04:48.977,-0.02,-1.001,0.073
2025-11-13 23:04:48.977,-0.02,-1.001,0.072
2025-11-13 23:04:48.977,-0.022,-1.003,0.071
2025-11-13 23:04:48.977,-0.02,-1.002,0.073
2025-11-13 23:04:48.977,-0.021,-1.0,0.071
2025-11-13 23:04:48.977,-0.022,-1.002,0.072
2025-11-13 23:04:48.977,-0.02,-1.002,0.072
2025-11-13 23:04:48.977,-0.022,-1.004,0.072
2025-11-13 23:04:48.977,-0.021,-1.001,0.073
2025-11-13 23:04:48.977,-0.021,-1.002,0.073
2025-11-13 23:04:48.977,-0.021,-1.003,0.072
,-0.02,-1.003,0.073
,-0.021,-1.004,0.071
,-0.021,-1.002,0.073
,-0.02,-1.003,0.072
,-0.021,-1.004,0.072
,-0.02,-1.002,0.073
,-0.021,-1.002,0.071
,-0.021,-1.003,0.072
,-0.02,-1.002,0.072
,-0.022,-1.004,0.072
,-0.02,-1.002,0.072
,-0.021,-1.003,0.071
2025-11-13 23:04:49.122,-0.02,-1.003,0.073
2025-11-13 23:04:49.122,-0.021,-1.004,0.071
2025-11-13 23:04:49.122,-0.021,-1.002,0.073
2025-11-13 23:04:49.122,-0.02,-1.003,0.072
2025-11-13 23:04:49.122,-0.021,-1.004,0.072
2025-11-13 23:04:49.122,-0.02,-1.002,0.073
2025-11-13 23:04:49.122,-0.021,-1.002,0.071
2025-11-13 23:04:49.122,-0.021,-1.003,0.072
2025-11-13 23:04:49.122,-0.02,-1.002,0.072
2025-11-13 23:04:49.122,-0.022,-1.004,0.072
2025-11-13 23:04:49.122,-0.02,-1.002,0.072
2025-11-13 23:04:49.122,-0.021,-1.003,0.071
,-0.022,-1.004,0.072
,-0.02,-1.002,0.073
,-0.021,-1.002,0.071
,-0.019,-1.003,0.072
2025-11-13 23:04:49.141,-0.022,-1.004,0.072
2025-11-13 23:04:49.141,-0.02,-1.002,0.073
2025-11-13 23:04:49.141,-0.021,-1.002,0.071
2025-11-13 23:04:49.141,-0.019,-1.003,0.072
,-0.02,-1.004,0.072
,-0.021,-1.004,0.072
,-0.019,-1.001,0.073
,-0.022,-1.002,0.071
,-0.02,-1.003,0.073
,-0.02,-1.002,0.071
,-0.022,-1.003,0.072
,-0.02,-1.001,0.073
,-0.022,-1.002,0.072
,-0.021,-1.003,0.073
,-0.02,-1.0,0.072
,-0.022,-1.0,0.072
2025-11-13 23:04:49.271,-0.02,-1.004,0.072
